origin_encoder,predict_encoder,predict_probability
0,1,0.5063711572151088
0,0,0.020810896820650706
0,0,0.028086356006858028
0,0,0.10758113977650685
0,0,0.045804751
1,0,0.12652556627381556
0,0,0.030263476222780607
0,0,0.46106875251048435
0,1,0.6215354065037877
0,0,0.24128927123993188
0,0,0.013854642986665574
0,0,0.088509243
0,0,0.010775351882467183
0,0,0.092530613
0,0,0.020137132
0,0,0.044463441
0,0,0.034023426
0,0,0.025669122
0,0,0.065866722
0,0,0.055516275
0,0,0.1652560546265042
0,0,0.059902718
0,0,0.020675650064304198
0,0,0.013658749912839874
0,0,0.015407994379771408
0,0,0.009087027
0,0,0.032062677
0,0,0.06170177
0,0,0.027934758
0,0,0.033088327407354005
0,0,0.023620602001742454
1,0,0.11620574838843742
0,0,0.032600385240172544
0,0,0.084964522
1,0,0.10401213274857102
1,0,0.059657972
0,0,0.022703893753369224
1,0,0.18174588790506382
0,0,0.057949758
0,0,0.181019826
0,0,0.2932609749566564
0,0,0.057273677981177155
0,0,0.067602805
0,0,0.091624067
1,0,0.030805034965430366
0,0,0.074751919
0,0,0.009409684
0,0,0.068455094
0,0,0.2170138530918124
0,0,0.027326414285190302
0,0,0.011510403
0,0,0.020277632
0,0,0.11046917422594245
0,0,0.024061935895177074
0,0,0.029405466290830278
0,0,0.032294223
0,0,0.041017785
0,0,0.21696839940082416
0,0,0.021813872924365874
0,0,0.088022186
0,0,0.094875977
0,0,0.058350470659384056
1,0,0.39815277530981086
0,0,0.024523797202449543
0,0,0.023621718910314227
0,0,0.065865408
0,0,0.067780861
0,0,0.032100780699108156
0,0,0.20930980945975802
1,0,0.1343575923495506
0,0,0.063648486
0,0,0.014382434396545957
0,0,0.024374453
0,0,0.06459153
0,0,0.10463597346599009
0,0,0.034432450268528425
0,0,0.026463445
0,0,0.04359358
0,0,0.033131636
1,0,0.17538912418982067
0,0,0.1764314407329111
0,0,0.045568437
0,0,0.077137158
0,0,0.14463239053553079
0,0,0.10712445597447663
1,0,0.1104651196081375
0,0,0.11351846476094345
0,0,0.11256633910845555
0,0,0.11303972935441195
0,0,0.039375896677119784
0,0,0.021847617423592067
0,0,0.017258966
1,0,0.13367553887191932
0,0,0.080813101
0,0,0.013070549719982656
0,0,0.15671798310879487
0,0,0.22421279324088156
0,0,0.052203236660818206
0,0,0.055365799
0,0,0.10572947336395298
0,0,0.15853233030266153
1,0,0.055734661
0,0,0.096822987
0,0,0.041693939
0,0,0.014687541522144357
0,0,0.083018427
0,0,0.020393465
0,0,0.1643480298285436
0,0,0.034527941
0,0,0.019626098789319167
0,0,0.009811242
0,0,0.025843613245637193
0,0,0.026653820080986657
0,0,0.16838587772384728
0,0,0.34773444248111096
0,0,0.35698141103454684
